hash value,amount of strings
0,1406
1,1403
2,1439
3,1509
4,1531
5,1448
6,1485
7,1484
8,1515
9,1525
10,1457
11,1501
12,1481
13,1491
14,1499
15,1509
16,1431
17,1374
18,1554
19,1506
20,1501
21,1417
22,1394
23,1424
24,1456
