hash value,amount of strings
0,1433
1,1592
2,1515
3,1465
4,1542
5,1450
6,1510
7,1465
8,1418
9,1553
10,1508
11,1378
12,1471
13,1517
14,1441
15,1322
16,1468
17,1440
18,1449
19,1462
20,1433
21,1435
22,1483
23,1515
24,1475
